# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,90.0,0.0,0,0.0,0.0,0.0
 0.214897842636562,0.01154527069246214,0.053724460659140494,0.24999999999999997,90.0,0.0,0,0.0,0.0,0.0
 0.30361079145229325,0.02304487817157197,0.12962715852221376,0.8555988598770784,90.0,0.0,0,0.0,0.0,0.0
 0.37147829194355036,0.0344990303463244,0.16877227084896085,0.5767872994201381,90.0,0.0,0,0.0,0.0,0.0
 0.42852274210694125,0.045907935125713006,0.20000025851262285,0.5474325297941608,90.0,0.0,0,0.0,0.0,0.0
 0.4786305482049118,0.05727180041873359,0.22678832257796327,0.5346085999647346,90.0,0.0,0,0.0,0.0,0.0
 0.5237970375417536,0.06859083413437927,0.25060689643666617,0.5273505691591216,90.0,0.0,0,0.0,0.0,0.0
 0.5652087903833253,0.07986524418164542,0.27225145698126996,0.5226670947112293,90.0,0.0,0,0.0,0.0,0.0
 0.6036397550510575,0.09109523846952516,0.2922121363585957,0.5193905370292551,90.0,0.0,0,0.0,0.0,0.0
 0.6396280947770004,0.10228102490701385,0.3108169624570143,0.5169681691374857,90.0,0.0,0,0.0,0.0,0.0
 0.6735660662566235,0.1134228114031055,0.32829854025840555,0.515103791983781,90.0,0.0,0,0.0,0.0,0.0
 0.7057501140397914,0.12452080586679459,0.3448290450741034,0.513624169559655,90.0,0.0,0,0.0,0.0,0.0
 0.7364107989623028,0.13557521620707425,0.36054022825052384,0.5124211418018629,90.0,0.0,0,0.0,0.0,0.0
 0.7657316771113514,0.1465862503329407,0.37553561901841415,0.5114236583114368,90.0,0.0,0,0.0,0.0,0.0
 0.793861741497566,0.1575541161533871,0.38989835465223005,0.5105831055564328,90.0,0.0,0,0.0,0.0,0.0
 0.8209239223640845,0.16847902157740835,0.4036964159654119,0.5098650911114452,90.0,0.0,0,0.0,0.0,0.0
 0.8470210729704402,0.1793611745139989,0.41698624883363106,0.5092445941198878,90.0,0.0,0,0.0,0.0,0.0
 0.8722402945797743,0.1902007828721528,0.4298153418875529,0.5087029747648334,90.0,0.0,0,0.0,0.0,0.0
 0.896656131548464,0.20099805456086406,0.44222410653205924,0.5082260608317065,90.0,0.0,0,0.0,0.0,0.0
 0.9203329777621287,0.2117531974891267,0.4542472773276478,0.5078028841801396,90.0,0.0,0,0.0,0.0,0.0
 0.9433269201415531,0.22246641956593693,0.4659149744759197,0.5074248232748676,90.0,0.0,0,0.0,0.0,0.0
 0.9656871723291909,0.23313792870028704,0.4772535231176867,0.5070850072091633,90.0,0.0,0,0.0,0.0,0.0
 0.9874572047459532,0.24376793280117282,0.4882860942687872,0.5067778926505285,90.0,0.0,0,0.0,0.0,0.0
 1.0086756461372275,0.25435663977758827,0.49903321272079304,0.5064989578558488,90.0,0.0,0,0.0,0.0,0.0
 1.029377010698271,0.264904257538527,0.509513164208875,0.5062444776130146,90.0,0.0,0,0.0,0.0,0.0
 1.0495922903546584,0.2754109939929843,0.5197423252632313,0.5060113551842007,90.0,0.0,0,0.0,0.0,0.0
 1.0693494415764266,0.2858770570499538,0.5297354329827724,0.5057969950916194,90.0,0.0,0,0.0,0.0,0.0
 1.0886737888246039,0.29630265461842953,0.5395058076002603,0.5055992056036755,90.0,0.0,0,0.0,0.0,0.0
 1.1075883614545752,0.3066879946074077,0.549065537569797,0.5054161231424655,90.0,0.0,0,0.0,0.0,0.0
 1.126114177028032,0.31703328492588057,0.5584256346206543,0.5052461530637321,90.0,0.0,0,0.0,0.0,0.0
 1.1442704811063578,0.3273387334828439,0.5675961645335965,0.505087922816276,90.0,0.0,0,0.0,0.0,0.0
 1.1620749514334974,0.33760454818729135,0.5765863581349623,0.5049402445666631,90.0,0.0,0,0.0,0.0,0.0
 1.1795438727715342,0.3478309369482173,0.5854047060512573,0.504802085123249,90.0,0.0,0,0.0,0.0,0.0
 1.1966922873898975,0.3580181076746163,0.594059040040357,0.5046725415556652,90.0,0.0,0,0.0,0.0,0.0
 1.2135341252317262,0.3681662682754827,0.6025566031554037,0.5045508212851914,90.0,0.0,0,0.0,0.0,0.0
 1.2300823170175403,0.3782756266598102,0.6109041105623202,0.5044362257193771,90.0,0.0,0,0.0,0.0,0.0
 1.246348892945461,0.38834639073659405,0.6191078024907515,0.5043281367131577,90.0,0.0,0,0.0,0.0,0.0
 1.2623450691705946,0.39837876841482833,0.6271734905290104,0.5042260053115593,90.0,0.0,0,0.0,0.0,0.0
 1.2780813238655935,0.40837296760350705,0.6351065982590501,0.5041293423244463,90.0,0.0,0,0.0,0.0,0.0
 1.2935674643583535,0.4183291962116251,0.642912197055991,0.5040377104024152,90.0,0.0,0,0.0,0.0,0.0
 1.3088126865952614,0.42824766214817656,0.6505950377384012,0.5039507173473946,90.0,0.0,0,0.0,0.0,0.0
 1.3238256279769716,0.4381285733221558,0.6581595786430564,0.5038680104267146,90.0,0.0,0,0.0,0.0,0.0
 1.3386144144488463,0.44797213764255694,0.6656100106064526,0.5037892715244369,90.0,0.0,0,0.0,0.0,0.0
 1.3531867025926243,0.45777856301837483,0.6729502792603642,0.5037142129972015,90.0,0.0,0,0.0,0.0,0.0
 1.3675497173537832,0.46754805735860305,0.680184104986604,0.5036425741065038,90.0,0.0,0,0.0,0.0,0.0
