# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,-0.0,0,-0.0,99.2555472149103,-86.42366562500274,1.7227047036916765,0.5804825387990444,0.0,0.0
 0.12978737287450098,-0.004211190539416188,-0.032446843218625246,-0.25,99.2555472149103,-86.39006643272592,1.7227047036916765,0.5804825387990444,0.0,0.0
 0.18326292593435375,-0.008396325005505106,-0.07826257470221368,-0.8567603112455696,98.84117210235775,-86.35646724044909,1.7355384959829898,0.5761900426378103,-7.748870069445719,-144.90490749619283
 0.2241056207734739,-0.012555832315566024,-0.10184213667695693,-0.5773263019892156,98.42627964972978,-86.32286804817227,1.7479435842036413,0.5721008441216926,-10.158302586600604,-58.99298581167743
 0.2583806347059241,-0.016690138097759044,-0.12062156386984943,-0.547904290568731,98.01096691990038,-86.28926885589544,1.759902329781914,0.5682133508647149,-12.117069613680734,-57.148540652397756
 0.288441776392607,-0.020799664592130673,-0.1367056027746329,-0.5350441800388674,97.59533269426655,-86.25566966361862,1.7713973114282753,0.5645260910968084,-13.826295420375892,-56.85831311764009
 0.31549852964536207,-0.024884830552096355,-0.15098507650949233,-0.5277600605462673,97.1794774042625,-86.2220704713418,1.782411359091475,0.5610377171910063,-15.369741007698172,-57.04474490726695
 0.34027078127004146,-0.0289460511465311,-0.1639423277288508,-0.5230550462538416,96.76350306004747,-86.18847127906497,1.7929275926579322,0.5577470077960852,-16.79194731740151,-57.411265283873725
 0.36322851134020756,-0.03298373786260582,-0.17587482315256203,-0.5197593746089761,96.34751317547439,-86.15487208678815,1.8029294562764893,0.5546528714802053,-18.11981773902251,-57.83979590153753
 0.38469883498402735,-0.036998298409516975,-0.18698183658105885,-0.5173193293569174,95.931612690311,-86.12127289451132,1.8124007539542712,0.5517543500344577,-19.370946244822964,-58.272456743361275
 0.40492041995065764,-0.04099013662325423,-0.19740481373367103,-0.5154381899248845,95.51590788956209,-86.0876737022345,1.8213256845342607,0.5490506220229988,-20.557478626670253,-58.67652727544885
 0.4240738255188732,-0.04495965237255292,-0.2072485613673829,-0.5139424212917653,95.1005063199413,-86.05407450995767,1.829688875393414,0.5465410067517534,-21.6881310293002,-59.03140298486797
 0.44229963357966795,-0.04890724146617713,-0.21659336477463514,-0.5127236815005034,94.68551670396249,-86.02047531768085,1.837475414143395,0.5442249688364869,-22.769339751333067,-59.32295119241595
 0.4597098892200695,-0.052833295561682134,-0.22550238069993406,-0.5117108047870936,94.27104885188135,-85.98687612540402,1.8446708816291622,0.5421021223671226,-23.80596015599791,-59.54079170780812
 0.47639564261566864,-0.056738202075798966,-0.23402638295893494,-0.5108551023682925,93.85721357134652,-85.95327693312719,1.8512613805675964,0.5401722363448214,-24.801713816769816,-59.67687746329373
 0.4924321033262847,-0.06062234409658717,-0.2422069364854881,-0.5101221319450926,93.44412257549502,-85.91967774085036,1.8572335651331706,0.5384352397961838,-25.759486666408424,-59.724702783362204
 0.5078822709939883,-0.06448610029750274,-0.2500785935800681,-0.50948683948813,93.03188838936543,-85.88607854857354,1.8625746679269126,0.5368912276215065,-26.681534789508596,-59.6788425168733
 0.522799559500623,-0.06832984485351133,-0.2576704576236521,-0.5089305633666197,92.62062425494388,-85.85247935629671,1.8672725239218975,0.5355404672798726,-27.569630649608968,-59.53467077514656
 0.5372297361814669,-0.0721539473594021,-0.2650073239205225,-0.5084391174925894,92.210444035479,-85.81888016401989,1.871315595464243,0.534383405142261,-28.425169596805965,-59.28818240546741
 0.5512123828450245,-0.07595877275042244,-0.2721105297566224,-0.5080015255346964,91.80146211866179,-85.78528097174306,1.8746929928032536,0.5334206741257866,-29.24924920566933,-58.93588164614988
 0.5647820153842648,-0.07974468122537795,-0.2789985995573227,-0.507609161912201,91.39379331948531,-85.75168177946624,1.8773944925409176,0.5326531019309492,-30.042729454727613,-58.474704216471835
 0.5779689547798205,-0.08351202817231951,-0.28568774254102036,-0.5072551547444019,90.98755278299788,-85.71808258718941,1.879410556218192,0.532081719287685,-30.806279175313744,-57.901966307926024
 0.5908000138691635,-0.0872611640969509,-0.2921922421622449,-0.5069339620317782,90.58285588685531,-85.68448339491259,1.8807323435448648,0.5317077698122465,-31.540412472942194,-57.21533137028366
 0.6032990454289358,-0.09099243455386621,-0.2985247648245238,-0.5066410651093899,90.17981814440924,-85.65088420263577,1.8813517255746814,0.5315327200151997,-32.245517624201625,-56.41278269340375
 0.61548738437355,-0.09470618008074845,-0.3046966074506206,-0.5063727431721962,89.77855510830635,-85.61728501035894,1.8812612942087525,0.5315582705487991,-32.9218803256349,-55.49260686848115
 0.6273842080754957,-0.09840273613562912,-0.3107178981122599,-0.5061259049047316,89.3791822750526,-85.58368581808212,1.8804543702975147,0.5317863681221819,-33.56970257434732,-54.45337889696286
 0.6390068326311352,-0.10208243303731883,-0.3165977601766576,-0.5058979610198822,88.98181499057313,-85.55008662580529,1.8789250078016346,0.5322192188873,-34.189118178704035,-53.29395278936071
 0.6503709584817349,-0.10574559590911253,-0.32234444777821697,-0.5056867265559323,88.58656835736407,-85.51648743352847,1.8766679968704831,0.5328593025871343,-34.78020557016269,-52.013449976661946
 0.6614908756010455,-0.10939254462585934,-0.32796545852069375,-0.5054903451317514,88.19355714325754,-85.48288824125164,1.8736788646617333,0.5337093879107913,-35.342998503473446,-50.61125251854831
